Country ISO3,Country,Year,Domain,Metric,Value,Unit,Source,Source URL,Loaded at
ALB,Albania,2023,Demographics,Population,2411658,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2023,Economics,GDP (current US$),23491242727.4082,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2024,Demographics,Population,2377128,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2024,Economics,GDP (current US$),27037474263.2977,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2025,Demographics,Population,2349580,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2025,Economics,GDP (current US$),30540188271.3421,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2016,Demographics,Population,72181,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2016,Economics,GDP (current US$),2896610479.86771,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2017,Demographics,Population,73763,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2017,Economics,GDP (current US$),3000162081.22353,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2018,Demographics,Population,75162,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2018,Economics,GDP (current US$),3218419896.93333,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2019,Demographics,Population,76474,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2019,Economics,GDP (current US$),3155149347.92156,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2020,Demographics,Population,77380,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2020,Economics,GDP (current US$),2891001149.40079,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2021,Demographics,Population,78364,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2021,Economics,GDP (current US$),3324647529.41855,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2022,Demographics,Population,79705,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2022,Economics,GDP (current US$),3380612573.4825,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2023,Demographics,Population,80856,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2023,Economics,GDP (current US$),3785067331.88242,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2024,Demographics,Population,81938,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2024,Economics,GDP (current US$),4044249678.65625,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AND,Andorra,2025,Demographics,Population,82904,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AND,Andorra,2025,Economics,GDP (current US$),4500982731.80784,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2016,Demographics,Population,8935095,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2016,Economics,GDP (current US$),381717208620.964,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2017,Demographics,Population,9223225,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2017,Economics,GDP (current US$),403365056078.846,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2018,Demographics,Population,9346701,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2018,Economics,GDP (current US$),440560003161.236,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2019,Demographics,Population,9445785,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2019,Economics,GDP (current US$),433926218686.108,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2020,Demographics,Population,9401038,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2020,Economics,GDP (current US$),357161776271.328,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2021,Demographics,Population,9575152,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2021,Economics,GDP (current US$),422441282436.237,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2022,Demographics,Population,10074977,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2022,Economics,GDP (current US$),511403404642.173,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2023,Demographics,Population,10483751,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2023,Economics,GDP (current US$),522622268401.125,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2024,Demographics,Population,10986400,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARE,United Arab Emirates,2024,Economics,GDP (current US$),552324919095.872,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARE,United Arab Emirates,2025,Demographics,Population,11513149,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2016,Demographics,Population,43900313,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2016,Economics,GDP (current US$),557532320662.955,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2017,Demographics,Population,44288894,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2017,Economics,GDP (current US$),643628393281.364,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2018,Demographics,Population,44654882,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2018,Economics,GDP (current US$),524819892360.176,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2019,Demographics,Population,44973465,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2019,Economics,GDP (current US$),447754683615.225,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2020,Demographics,Population,45191965,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2020,Economics,GDP (current US$),385740508436.965,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2021,Demographics,Population,45312281,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2021,Economics,GDP (current US$),486564085480.036,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2022,Demographics,Population,45407904,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2022,Economics,GDP (current US$),633993756301.08,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2023,Demographics,Population,45538401,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2023,Economics,GDP (current US$),649461687959.174,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2024,Demographics,Population,45696159,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2024,Economics,GDP (current US$),638365455340.04,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARG,Argentina,2025,Demographics,Population,45851378,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARG,Argentina,2025,Economics,GDP (current US$),683097891618.597,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2016,Demographics,Population,2992300,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2016,Economics,GDP (current US$),10546136235.5219,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2017,Demographics,Population,2979400,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2017,Economics,GDP (current US$),11527458709.0158,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2018,Demographics,Population,2969000,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2018,Economics,GDP (current US$),12457940694.7395,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ARM,Armenia,2019,Demographics,Population,2962500,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ARM,Armenia,2019,Economics,GDP (current US$),13619290539.2116,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
